Size,Chest,Neck-to-Cuff,Back Waist Length,Cross Back,Sleeve Length,Upper Arm,Armhole depth,Waist,Hips
X-Small-1,71,68.5,42,35.5,42,25,15.5,58.5,83.5
X-Small-2,76,70,42,37,42,25,16.5,61,86
Small-1,81,71,43,37,43,26,16.5,63.5,89
Small-2,86,72.5,43,38,43,26,17.5,67.5,91.5
Medium-1,91.5,73.5,43.5,40.5,43.5,28,17.5,71,96.5
Medium-2,96.5,75,43.5,42,43.5,28,19,76,101.5
Large-1,101.5,76,44.5,43,44.5,30.5,19,81.5,106.5
Large-2,106.5,77.5,44.5,44.5,44.5,30.5,20.5,86.5,111.5
1X-1,111.5,78.5,45,44.5,44.5,34.5,20.5,91.5,116.5
1X-2,117,80,45,44.5,44.5,34.5,21.5,96.5,122
2X-1,122,80,45.5,45.5,45.5,39.5,21.5,101.5,132
2X-2,127,81.5,45.5,45.5,45.5,39.5,23,106.5,134.5
3X-1,132,82.5,45.5,45.5,45.5,43,23,111.5,137
3X-2,137,84,45.5,45.5,45.5,43,24,114,139.5
4X-1,142,82.5,47,47,47,47,24,116.5,142
4X-2,147,84,47,47,47,47,25.5,119,144.5
5X-1,152,84,47,47,47,49.5,25.5,124,155
5X-2,158,85,47,47,47,49.5,26.5,127,157
